,comments,sentiment
0,There is a problem with the SSL certificate with this app. That's worrying. Ifthey fix it I mightbe able to give more than one star,0
1,"The minute i finish downloading it, try to open it, it came up with error message, said there is a problem with sscc",0
2,Neutral review at present. Can't open app. There is an error saying there is a problem with SSL validation and to contact the web administrator.,1
3,Not working at all Comes up with a message saying there is a problem with the ssl validation of this website. Contact administrator.,0
4,Doesn't work,0
5,Doesn't work,0
6,This is where you will find your question,1
7,"This app is great, it helped me realise I was being ripped off, the workers didn't think I could access my invoices.. they are now being investigated by the fraud department as it was found they were dipping into other people's funding.",1
8,"I am unable to open an account. The terms and conditions does not have a select button on it so because I haven't been able to agree to the terms and conditions, it just won't work. I have tried several times uninstalling and reinstalling, still no joy! :(( pretty disappointed as this would be so handy for me!",0
9,"The writing on the opening page overlaps. I was using the app with no issues then all of a sudden it asked me to agree to the terms and conditions for my first time logging in. It is unusable, I can't get past the log in screen.",0
10,"So far so good this app has every possible category a person could need relating to NDIS preparation, application and structure. It takes the guess work out of applying for and managing NDIS. Just be careful when playing with the accessibility settings as they appear very sensitive and you could end up with settings you really didn't want. Other than that this app is brilliant for what it is intended.",1
11,"Recent changes have made it very hard on participants & providers. I understand changes need to be made, but Leap in did not prepare for it enough. Clients are going without daily consumables because invoices have not been unpaid or lost, or providers are not being paid. I feel sorry for all the support workers who's pays are so irregular and inconsistent now. Based on particpant comments on social media & many wanting to leave if this continues, I hope it is fixed sooner rather than later.",0
12,I can't sign up it won't let me make a account,0
13,Marked you down because I can't go back and spell check or edit my daughter's goals not can I copy and paste it to print off on another platform does not look very professional to hand in. Please hurry up an fix this . I struggle n I have to find time to start over again on another platform.,0
14,Every time I log in and click on my sons name it throws me out of the app I have uninstalled it and reinstalled it and it does the same thing you have problems with this app needs fixing,0
15,"Unable to log on ,tried for 15 minutes then requested a new password and stil would not let us in .Disappointing This is not good at all",0
16,"Awesome app, adore it. Got my son up and running with a new job. Now he is looking a signing up for fishing with a club. Very friendly helpful people, thank you leap in!",1
17,"I often look at this App & wonder... Should I fill this information packet out for submission to the people whom monitor at the other end of my detail, as I'm a disability pensioner. I guess it's because I worry how this information could be used against me in the future. So this is in limbo at the present time. I have Parkinsons plus other Parkinsons related issues. The way issues dealt with to stay the way it is now. I want every $ spent to be provided in good faith. I'm uninstalling. Secrecy!",1
18,It only shows your balances. Would be good if all the menu items worked and we can send claims/invoices via the app,1
19,"I cant log into the app. I am using the correct username and password, it just keeps sending me back to the login screen! Pls fix",0
20,Can the history of paid invoices please be put in order - very frustrating when February's are mixed with June and they jump all over the place,0
21,Unable to do anything in the app uninstalled and reinstalled many times. App is stuck on a loading screen,0
22,"App was great before the latest update, now the app is refusing to open... please fix!",1
23,"Crashes constantly, staff constantly enters wrong information, endless login errors and ugly interface.",0
24,Its an amazing app and is a good app to have as you can approve your invoices that you have and it explains how you can approve your invoices and you can also customise your leapin app as well,1
25,its just the app I dont think is very good. Leap in planning themselves are quite good.,1
26,The app keeps freezing or won't open.,0
27,"Great app, has made preparing for my plan meeting easy. I'm really interested in signing up for plan management, where can I find out more?",1
28,"Love it, stylish, appreciative of Leapin services",1
29,Installed and can't even open it. Good start so deleted,0
30,This app does my head in. It wouldn't open after I downloaded it. 👎👎👎👎,0
31,It didn't work. Not happy. I think scam. Be careful.,0
32,interrupted by another infallible review when the world is turning sleep little baby the rings are on your fingers damn it did anyobe bring a match. no one brought a match,1
33,How much is it monthly? Im not going to sign up without knowing how much it costs but you dont say how much it costs.,0
34,Working again. Thanks,1
35,Great as l am supported by NDIS.,1
36,Just want it to be 100% to serve me well.,1
37,Can not open account,0
38,Really amazing app,1
39,Hi I have installed the app onto my computer but it wont let me in. Could you please help me,0
40,l. think. what. they. are. doing. to .people. is. so. upseting. you. donot. know. where. you. to .much. stress. on. people. as .l. am. one .of .them ..and .so. are .other. ones. .it. doing .my. head..in. and..making .me..so .sick. from. the. worry. and. stress. when. you. got. noone. helping. you. as. you ..have. lost..that. worker . donot. know. what .is. going. on,0
41,wont to feel beat in lift,1
42,No responses to my questions,1
43,Mad App it's about time.,1
44,very much happy,1
45,I dont know how to work it,1
46,Very useful.,1
47,App doesn't open,0
48,Great application,1
49,Wow,1
50,Still learning it. But seems really easy to use and not full of mumbo jumbo talk. Plenty of help available for ppl who have time to watch/read/listen/Auslan on how to navigate My plan manager. Wasn't aware I could skip out a SAC. 👌,1
51,Terrible. It says to view claims to click on new claims but then it says up to date and only offers te chance to submit a new one. It is nothing like the PC version. Not happy :(,0
52,App was working well until updated! Trouble taking photo of account it just didn't let you proceed. Several phone calls made. Seems to be working now but slightly different. Unable to view uploaded account as you could before. Says loading then BLANK white screen. Frustrating and annoying. Needs IS&T attention to get it back working how it was prior to the upgraded. App was very easy to use and worked well. This isn't the case now.,0
53,"This app and the MPM website are equally terrible. Very glitchy, doesn't let me do anything useful in it. Can't upload a photo, change my email address, add nominees like my support coordinator, etc. Says I have no plan in place even though I do. It's purely ornamental, to the point I'm seriously considering changing plan managers.",0
